stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,183.89,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,2.14,0,0,0,0,40.65,8.56,1.07,1.07,0,1.07,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,1.34,0,1.34,0,6.69,0,1.34,36.14,6.69,0,4.02,2.68,5.35,1.34,2.68,0,0,0,1.34
3Month,0,0.96,0,0,0,1.28,0,0.96,0.32,0,0,0.96,1.28,0.32,0,0,0,0,0.32,0,0,0,0,0,0.32,0.32
22Month,0,0.55,0,2.73,1.09,16.95,0.55,2.73,0,0.55,1.09,2.19,0,1.09,0,0,0,0,0.55,0,0,0,0,0.55,0,1.64
