stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,14.72,0,89.68,0,2.68,1.34,0,1.34,0,0,0,1.34,0,0,0,0,2.68,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0.64,1.6,8,0,0.32,489.84,1.92,7.04,6.4,0.64,21.76,0.64,3.52,2.56,6.08,0.64,0,3.52,1.28,0,2.56,0.32,0.96,1.28,2.56,0.64,0.32,2.88,3.2
22Month,0,0,0,6.01,0,0.55,291.91,3.28,12.03,0,0,17.49,1.64,0,1.64,2.19,0,2.19,9.84,0,0.55,0,0,0.55,0,0.55,0,0,0,1.09
