stage,Cardiomyocyte,Endothelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell
24hpf,49.04,0,0,0,0,8.17,0
72hpf,2.14,0,0,0,0,0,1.07
22Month,0,0.55,0.55,2.19,0.55,0,0
