stage,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,1.07
21Day,2.68,0,1.34,0,0
3Month,0,0,0,0.32,0
22Month,0,1.64,0,0,0
