stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,43.86,0,0,3.21,2.14,0
21Day,1.34,36.14,0,0,0,0,1.34,1.34,0,99.05,12.05,0,0,1.34,0
3Month,0,18.24,0,0.32,0.64,0.96,0,0,0,3.52,2.88,0.32,0.32,0,0.64
22Month,0,1.09,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0
