stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,6.42,1.07,0,0,0,20.33,2.14,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,29.45,0,2.68,6.69,0,0,1.34,0,4.02,4.02,0,1.34,0,0,0,0,4.02
3Month,0,1.92,0.64,3.84,3.2,124.78,0,0.64,0.64,8.64,1.28,0.64,0.32,0.32,0,0,0,0.32,0.64,0.32,0.32,0.32,10.88
22Month,0,0.55,0,1.64,6.56,45.92,0,1.64,0,33.35,0,0,0,0,0,0,0,0.55,0,2.19,0,0,7.11
