stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,1.07
21Day,1.34,0,1.34,0,1.34,0
3Month,0,0.32,0,0,0,0
