stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,4.28,0,1.07,1.07,22.47,19.26,0,2.14,7.49,2.14,1.07,0,1.07,0,0,0,0,0
21Day,6.69,1.34,1.34,14.72,1.34,0,1.34,1.34,1.34,2.68,46.85,0,24.09,14.72,113.78,33.46,0,0,45.51,12.05,6.69,0,4.02,4.02,0,1.34,0,78.97
3Month,0.96,0.64,0,3.2,0,0.32,0.32,0.32,0,0.96,1.92,0.96,1.6,0,8.32,1.28,0.64,0,0,0,0,0.64,0,0.32,0.32,0,0.32,31.36
22Month,0,0,0.55,0,0,0,0,0.55,0.55,1.64,0.55,0,0,0,6.56,0.55,0,0,0,0,0,0,0,0,0.55,0,0,7.65
