stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,0,81.73,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,20.43,118.51,114.42,57.21,0,0,0,0,28.6,318.74,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,69.54,4.28,4.28,0,1.07,0,1.07,4.28,0,0,1.07,0,1.07,0,22.47,194.7,11.77,47.07,0,2.14,1.07,1.07,71.68,37.44,0,0,23.54,1.07,1.07,1.07,1.07,9.63,0,0,0
21Day,13.39,1.34,4.02,283.77,5.35,12.05,0,5.35,0,5.35,9.37,0,0,10.71,6.69,5.35,13.39,6.69,127.16,16.06,41.49,0,0,1.34,5.35,25.43,13.39,0,0,30.79,4.02,1.34,6.69,1.34,6.69,1.34,0,1.34
3Month,0,5.44,6.72,173.09,0.64,0,2.24,0.64,0.32,87.67,56.31,0,0,164.77,51.51,1.6,133.74,12.16,23.68,24,19.2,3.52,0.32,9.92,9.6,3.2,0.32,3.84,1.6,2.88,6.72,61.75,0.64,0,0.32,4.16,41.59,8.64
22Month,1.09,12.03,13.67,58.49,0.55,0,3.83,1.64,0,43.19,196.25,16.4,0,371.73,83.64,7.11,223.04,2.73,12.03,64.51,28.43,1.09,7.65,3.83,0,4.37,0.55,6.56,2.19,2.73,1.09,20.23,1.64,1.09,0,1.09,0,4.37
