stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,49.04,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,9.63,0,0,0,0,0,1.07,0,0,0,0,1.07,0,26.74,0,2.14,1.07,8.56,7.49,0,26.74,0,0,1.07,0,1.07,0,0,0,0
21Day,2.68,1.34,4.02,10.71,2.68,0,0,0,0,0,0,0,1.34,0,0,0,70.94,0,6.69,0,17.4,5.35,0,10.71,1.34,1.34,0,9.37,10.71,0,0,0,0
3Month,0.32,0.64,9.92,3.84,0,0.64,0,0.64,0.32,3.2,0.64,6.72,1.6,0.96,2.24,1.6,32.95,6.72,0.32,1.6,0.96,0,0.32,0.64,0.64,29.12,0.32,0,0,0.64,0.64,5.44,0.96
22Month,0,0,19.13,7.65,0,0,0.55,0,0,9.29,2.19,25.69,2.73,2.19,1.09,11.48,21.87,1.09,0.55,0,0.55,0,1.09,0.55,0,7.11,1.64,0.55,0,0,0,0,1.09
