stage,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0,1.07,0
21Day,1.34,0,0,0,0,2.68,0,0
3Month,0,0.96,0.64,0.32,0,0,0,0
22Month,0,2.19,0,0,0.55,0,0,2.19
