stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,109.12,0,0,4.28,0,1.07,0,0,0,0,0,0
21Day,2.68,0,1.34,5.35,1.34,0,1.34,0,0,0,16.06,0,0,2.68,200.78,4.02,0,1.34,1.34,0,4.02,0,1.34,0,0,0
3Month,0,0,8,0,0.32,0.96,2.24,0,4.16,1.92,1.28,0,0.32,0.96,157.1,1.6,0,0,0,0.32,0.96,0.96,0,0.32,0.96,0.64
22Month,0,0.55,7.11,0,0,0,28.43,1.09,10.93,0.55,2.19,2.19,0.55,0.55,509.48,2.19,0.55,0,0,0,0.55,1.64,2.19,0,0,1.64
