stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,4.09,16.35,12.26,0,0,0,0,8.17,122.59,0,0,4.09,0,0,0,0,0
72hpf,5.35,1.07,0,10.7,2.14,2.14,0,2.14,0,0,0,2.14,0,5.35,31.02,12.84,19.26,0,2.14,0,1.07,33.16,43.86,0,1.07,5.35,0,0,6.42,0,0
21Day,4.02,1.34,0,52.2,13.39,1.34,0,10.71,0,1.34,0,26.77,2.68,1.34,25.43,20.08,29.45,0,0,0,1.34,8.03,14.72,0,0,2.68,5.35,0,5.35,0,25.43
3Month,0,0.96,0.64,17.92,0,0,1.6,27.2,0.32,8.96,31.36,1.6,8,0.96,9.28,23.04,2.24,0.96,0,1.28,1.28,0.64,0,0.32,0.32,0,0.64,15.68,0,7.04,16.32
22Month,0,1.09,0.55,7.11,0,0.55,1.64,65.6,1.64,19.68,27.88,4.37,7.11,0,3.83,21.32,2.19,0,1.09,0.55,0,1.09,0.55,0,0.55,0,0,0,0.55,0,9.84
