stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,20.43,0,0
3Month,0,0.32,0.64,0,0.32,0,4.16,0.64
22Month,0,1.09,1.09,1.64,0,0,1.09,0
