stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,0,0,20.43,4.09,0,16.35,0,0,8.17,20.43,151.2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,21.4,0,0,0,0,0,0,0,0,0,6.42,0,2.14,0,0,1.07,23.54,18.19,0,0,1.07,0,0,0,12.84,2.14,1.07,1.07,0,0,0
21Day,0,0,0,8.03,9.37,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,0,0,9.37,2.68,0,0,2.68,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,2.24,2.24,105.26,3.2,0,4.8,7.68,0,38.71,11.2,0,10.56,20.16,4.8,7.68,10.88,1.92,2.24,3.2,12.48,0,5.76,0.96,0.64,4.48,0.32,60.79,0.96,0,0,1.28,1.28,2010.88,3.84
22Month,0,0.55,0.55,60.13,1.09,1.64,0,1.64,1.09,18.59,1.64,0.55,1.09,1.64,0.55,1.64,13.12,0,0,0,3.83,0,2.19,0.55,0.55,0,0,31.71,0,0,0,0,0,7.65,0.55
