stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,38.51,1.07,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,4.02,0,2.68,0,4.02,0,0,0,0,0,1.34,0,0,2.68,0,96.37,2.68,0,4.02,0,0,1.34,1.34,0,0,1.34
3Month,0,0.32,1.6,0,0,0,0,0.32,0,0,1.92,0,0.32,0.64,0,0.96,0.64,0,0,0,0,0.96,0,0,0,0.32,4.16,0
22Month,0,0.55,0.55,0,0,0.55,0,0.55,2.19,1.09,14.76,0.55,4.92,2.19,1.64,5.47,0,0,0,0.55,0,3.28,1.09,0,0,0,0,0.55
