stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,28.11
3Month,0.32,0.96,1.6,4.8,1.92,0.32,0.32,0.96,0,0,6.4,4.8,0.32,2.24,0.96,0.96,25.28,6.08,0.64,0.32,2.24,0,0.64,0.32,0.96,0,0.32,1.6,6.08,0.32,0.32,0.96,3.84,212.45
22Month,0.55,0,0,3.83,0,0,1.64,6.56,0.55,0,16.4,2.73,2.19,1.09,1.09,0,43.19,2.73,0,0,0,0.55,0,0,1.64,1.64,0,0,12.03,0,0.55,0,0,125.73
