stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,4.28,0,0,8.56,3.21,3.21,0,0,0,0,0
21Day,4.02,0,82.99,0,0,0,0,1.34,1.34,0,17.4,0,5.35,1.34,0,1.34,4.02,0,1.34,0,1.34,0,0
3Month,0,0.32,38.07,0.32,0.96,1.92,2.24,0.64,0.64,2.24,0.96,3.52,0,0.64,0.32,0,0,0,0,0.64,0,0.64,0.32
22Month,0,0,19.68,0,0.55,6.56,1.64,1.09,0,1.09,0,4.37,0.55,0,0,0,0,0,0,0,0,0,0
