stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,4.09,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,41.72,4.28,0,2.14,0,0
21Day,0,0,1.34,0,0,1.34,0,0,0,0,1.34,1.34,2.68,29.45,5.35,2.68,0,0,0
3Month,0,0.32,4.48,0.32,5.76,0.32,0.64,0.64,2.24,0.32,0.32,0.32,0.64,0.96,0,0.96,0,2.24,8
