stage,Epithelial_cell,Granulocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,0,0
3Month,0,0.64,0,0.32,0,0,0,0
22Month,0.55,0,0,0,0.55,0,0.55,3.83
