stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,0,0,0,0,0,0,0,0,0,3.21,0,0,3.21,0,0,0,0,1.07,5.35,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,10.71,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,4.02,2.68,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,0,0,97.9,1.92,0,0.64,0.96,0,9.28,1.92,0,1.92,3.84,1.6,2.24,2.56,0.32,0,0,0.32,0,0.32,0,0.32,0,1.6,9.28,0,0,0.32,4.16,2.56
22Month,0,1.09,0.55,424.75,7.65,1.09,2.19,9.29,1.09,61.77,2.73,0.55,4.37,1.09,2.73,8.2,13.12,0.55,3.83,1.09,0,3.83,0.55,5.47,1.64,0.55,2.73,7.65,2.73,0,0,0,1.09
