stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,1.07,0,0,0,0,0,0,0,4.28,50.28,1.07,1.07,0,5.35,3.21,0,0,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,141.88,1.34,5.35,0,0,0,0,0,0,0,0,1.34,20.08,128.5,0,8.03,0,12.05,1.34,0,4.02,5.35,0,1.34,2.68,0,0,0,0
3Month,0.64,0.64,0.32,68.79,0,0,0,0,0.64,1.28,0,4.8,2.24,0.32,6.4,49.91,2.88,0.64,1.6,0,4.16,0,0.32,0,0.96,1.92,0.32,0,0,0.32,13.76,1.28
22Month,0,0.55,1.09,10.93,0,0,0.55,0,1.09,6.56,1.09,30.07,3.83,1.64,19.13,3.83,1.64,2.19,2.73,1.64,0.55,0.55,0,0,0,2.19,0,0,0.55,0,0,0
