stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Radial_glia,T_cell
3Month,0,0,0.32,0,0,1.28,0,0,0,0,0,0,0,0
22Month,0.55,0.55,2.19,0.55,0.55,26.24,1.09,3.28,1.09,0.55,1.64,0.55,0.55,0.55
