stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,25.67,0,0,0,0,0,0,0,0,0,0,1.07,9.63,0,1.07,0,0,0,0,9.63,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,37.48,2.68,0,1.34,1.34,0,0,0,0,0,1.34,2.68,14.72,0,0,0,0,61.57,0,4.02,2.68,0,0,0,5.35,0,0,0,0,0,0
3Month,0.64,0.32,61.43,0,0,0.32,17.92,0.96,0,8.96,1.6,0,5.12,0.96,2.88,0.96,2.88,0.96,0,409.86,0.96,0.96,0,0.64,0.32,0.32,3.52,2.88,1.28,0,0.32,2.24,0.96
22Month,4.37,2.73,19.68,0,1.09,0,6.56,0.55,0.55,34.44,3.83,1.09,1.64,0.55,1.09,1.64,6.01,0,0.55,514.95,0.55,0,0,0,1.09,0,0.55,0,1.09,0.55,0,0,0.55
