stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,2.14,6.42,2.14,4.28,0,1.07,0,0,0,0,0,0,0,0,1.07,50.28,0,1.07,0,5.35,8.56,0,65.26,0,0,0,0,0
21Day,2.68,9.37,4.02,6.69,0,28.11,0,0,0,0,1.34,0,0,0,0,29.45,0,0,0,5.35,0,0,1.34,0,0,0,0,0
3Month,0,8.96,2.88,0,0.32,8.64,0.64,0,1.92,0,0.64,0.64,0.32,1.28,0.96,3.52,2.24,0.32,0.32,0.32,0,0.64,0.64,0.32,2.24,12.8,0.32,0.64
22Month,0,8.75,3.28,0,0.55,9.29,0.55,1.64,9.29,0.55,0.55,1.09,1.09,0.55,0.55,4.37,0.55,0,0,0,0,1.64,0,0,0,2.73,0,0.55
