stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,4.28,0,0,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34
3Month,0.64,0.64,4.48,0.32,0.32,0,0.96,1.6,3.52,0.32,5.76,0.32,1.6,1.6,0.64,0.64,0,0,0.96,0,0.32,0.64,3.2
22Month,1.09,0.55,1.64,0,0,0.55,0.55,1.09,3.28,0.55,3.28,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0
