stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,1.34,0,1.34,0,1.34,0,0,9.37
3Month,0.32,1.28,0.32,0.32,0,0.32,0.32,0.32,0,1.6,7.04,4.48
