stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,11.77,1.07,3.21,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,8.03,5.35,1.34,0,2.68,2.68
3Month,0,0.32,0,0.96,0.32,0.32,0,0.32,0.32,0,0,0,0.64,0,0.64
22Month,0,0,0,1.09,3.83,0,0.55,0,0.55,0,0,0,0,0,0.55
