stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,29.95,1.07,0,0,0,1.07,0
21Day,1.34,0,5.35,1.34,5.35,0,0,1.34,1.34,0,1.34,1.34,4.02,6.69,1.34,112.44,4.02,2.68,5.35,2.68,1.34,1.34
3Month,0,0,1.6,0,0,3.2,0,0.64,0.64,0,0,0.64,4.16,0,0,0.32,0,0,0,2.56,0,0
22Month,0,0.55,0,0,0,1.09,0.55,9.84,0,0.55,0,0.55,1.09,1.09,0,0,0.55,0,0,1.64,0,0
