stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,1.07,1.07,0,8.56,0,1.07,2.14,1.07,0,0,1.07,0,1.07,0
21Day,2.68,1.34,6.69,1.34,1.34,0,0,0,0,0,0,1.34,0,14.72,0,0,0,2.68,0,0,2.68,0,1.34,0
3Month,0,0,1.6,0,0,0.96,0,0,0.64,0.64,0.96,0.64,0.32,4.16,0.64,0,0,0,0,0,0,0.32,0,0
22Month,0,0,4.37,0.55,0,1.64,0.55,0.55,7.11,0,0,0.55,0,14.21,0,0.55,0,0,1.09,0.55,0,0,2.19,0.55
