stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,2.14,5.35,0,0,0,0,0,0,0,0,0,0,8.56,3.21,8.56,0,0,0,0,600.15,6.42,0,1.07,0,1.07,0,0,3.21,1.07,3.21,0,0,0,0
21Day,1.34,1.34,0,22.76,12.05,2.68,0,0,0,0,2.68,1.34,6.69,4.02,1.34,5.35,2.68,37.48,0,1.34,2.68,1.34,587.62,13.39,13.39,2.68,0,6.69,12.05,0,4.02,2.68,2.68,2.68,0,0,4.02
3Month,0,3.84,1.6,7.36,0,0,0.96,0.32,3.84,0,5.44,3.2,2.88,1.6,0.64,1.28,3.2,9.28,0.32,0,1.6,0,7.36,0.32,9.92,0,0,0.32,0.32,19.84,0,0,0.32,0.32,0.96,53.75,4.16
22Month,0,4.92,1.09,3.83,0,0,0,0,4.92,0.55,23.51,1.64,0.55,5.47,1.64,0.55,0.55,4.92,0.55,0,2.73,0,6.56,0,9.29,0.55,0.55,0,0.55,14.76,0,0.55,0,0,0,0,1.09
