stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,9.92,0.32,0.32,0.32,0.64,0.64,0.32,0.32,4.8,0.32,1.28,0.32,0.64,0.64
22Month,0.55,9.29,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0,0
