stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1479.28,237.01,0,3869.83,57.21,4.09,4.09,0,0,0,118.51,0,0,0,0,253.36,5618.81,147.11,2468.19,0,0,0,12.26,1503.8,42988.98,4.09,0,277.88,0,0,0,0,32.69,0,0
72hpf,5.35,11.77,0,19.26,1.07,5.35,1.07,0,0,0,0,0,0,0,0,16.05,49.21,0,49.21,0,1.07,1.07,0,197.91,84.51,0,1.07,33.16,0,0,11.77,0,1.07,0,0
21Day,2.68,2.68,1.34,33.46,1.34,12.05,13.39,0,2.68,0,0,0,1.34,4.02,0,0,21.42,4.02,52.2,0,0,4.02,0,14.72,6.69,0,0,12.05,1.34,0,1.34,2.68,0,0,5.35
3Month,0,0.32,0.64,3.84,0,0,0,0.32,6.72,0,0,0.96,21.44,0.32,0.32,0.64,0.96,1.92,0.96,0.64,0,0,0,0.64,0,0.32,0,0.32,0.64,1.6,0,0,0,0.64,4.8
22Month,0,0.55,0,1.09,0,0,0,0,9.29,0.55,0,3.83,6.01,1.09,1.64,0,1.09,2.73,1.09,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0.55
