stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,9.28,0,0,1.6,0.96,0,0,19.52,2.56,0.32,7.36,0.32,2.56,5.76,4.48,0.32,0,0,0.32,0,0,0,0,0.32,1.92,3.2,0.32,1.92
22Month,3.28,1.64,6.01,0.55,0.55,0.55,5.47,4.37,0,170.56,4.37,4.92,16.4,0.55,2.73,3.28,12.57,0,5.47,1.09,0.55,0,1.64,0.55,0.55,0.55,0.55,2.19,0,2.19
