stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,12.84,2.14,7.49,1.07,7.49,0,0,0,0,0,0,0,1.07,13.91,1.07,8.56,0,0,0,0,1090.12,90.93,14.98,0,0,9.63,2.14,1.07,0
21Day,2.68,0,1.34,0,0,0,0,0,1.34,0,2.68,1.34,0,2.68,4.02,6.69,0,0,1.34,1.34,200.78,13.39,5.35,5.35,0,1.34,0,0,2.68
3Month,0,0,1.28,0,0,0,0,0,2.24,0.32,0,0,0.32,0.32,0.32,0,0,0,0.64,0,0,0.96,0,0.32,0.64,0,0,0,0.32
22Month,0.55,0,0.55,0,0,0.55,0.55,1.09,10.39,0,0,1.64,0,0.55,0,0.55,0.55,1.09,0,0,0.55,0,0,0,9.29,0,0,0,0.55
