stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,2.68,0,25.43,0,0,0,0,0,0,1.34,0,0,6.69,0,1.34,1.34,2.68,0,0,0,36.14,6.69,1.34,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,2.56,71.35,20.8,0.32,3.2,8.96,8.96,0,32.31,9.6,0.32,1072.15,1.28,6.4,7.68,9.28,0.64,0,2.24,31.99,0.64,0.32,0.32,1.28,5.76,0.32,6.72,0.96,0,3.84,3.52,5.76
22Month,0.55,1.09,21.32,2.73,0,0,6.01,3.83,1.09,22.96,0.55,0,374.46,0,0,1.64,3.83,0.55,1.64,1.09,0,0,0,0,1.09,0,0,0.55,0,0,0,0,1.09
