stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,13.39,0,2.68,0,0,0,0,0,2.68,0,16.06,4.02,8.03,1.34,0,0,2.68,2.68,0,0,2.68,0,1.34,0,0,0,5.35
3Month,0,0.64,66.87,0.32,0,0.96,0.96,1.92,3.2,3.2,1.28,4.16,1.28,1.92,37.43,1.28,1.28,0.96,0,0,0.32,0.32,1.92,3.2,0.64,0,0.32,1.6,4.16
22Month,0,3.28,16.4,0,0,0,0,1.64,8.2,0.55,1.09,2.19,3.28,0.55,31.16,0.55,0,0.55,0,0,0.55,1.09,0,0,0,0.55,0,0,1.64
