stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,4.09,0,0,0,0,0,0,8.17,93.99,0,0,0,0,0
72hpf,1.07,2.14,2.14,0,0,1.07,4.28,0,63.12,13.91,0,1.07,0,0,2.14
21Day,1.34,1.34,1.34,0,1.34,0,4.02,1.34,29.45,6.69,0,1.34,2.68,0,0
3Month,0,0,0,0.32,0,0,0.96,0,0.32,0,0.96,0,0,3.2,0
