stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,24.52,0,187.97,12.26,12.26,0,0,0,0,0,0,0,0,0,12.26,81.73,163.46,510.8,0,0,0,0,106.25,2872.74,0,0,102.16,0,0,0,4.09,0,0,8.17,0,0,0
72hpf,38.51,20.33,0,62.05,9.63,9.63,0,5.35,0,0,0,0,0,12.84,1.07,34.23,70.61,9.63,216.1,0,11.77,1.07,0,139.07,500.66,0,0,160.47,7.49,0,1.07,21.4,0,0,1.07,0,0,0
21Day,124.48,10.71,1.34,101.73,6.69,112.44,0,124.48,0,8.03,0,28.11,8.03,97.71,5.35,6.69,26.77,42.83,416.28,0,0,28.11,0,42.83,218.18,1.34,4.02,243.61,25.43,0,1.34,24.09,2.68,8.03,16.06,0,0,12.05
3Month,0.64,5.76,6.72,72.63,0.96,0,2.56,0.32,5.44,5.76,0.32,1289.4,14.08,0.32,37.11,4.8,10.56,7.36,26.24,8,0.64,2.88,4.16,3.2,0.32,1.6,11.52,1.6,19.2,0.32,167.97,0.32,0,0,3.52,8.96,19.84,7.36
22Month,0.55,7.11,10.39,24.05,0,0,4.37,0.55,3.28,12.03,14.76,1598.96,8.2,2.73,68.33,0.55,1.09,11.48,34.44,1.64,33.35,3.83,0,2.73,0.55,2.73,13.12,0.55,1.09,0,36.08,0.55,2.19,0,6.01,0,0.55,4.37
