stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09,4.09,16.35,16.35
21Day,0,0,0,0,0,0,1.34
22Month,0.55,0.55,0.55,0.55,1.09,0,0
