stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,36.37,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,8.56,5.35,0,0,3.21,0,0,0,0,0,0,0,0
21Day,12.05,0,0,426.99,0,13.39,0,4.02,0,4.02,0,1.34,0,14.72,0,2.68,29.45,10.71,16.06,0,0,131.18,1.34,24.09,5.35,0,0,2.68,16.06,0,2.68,0,2.68,0,0,1.34
3Month,0,1.28,0.64,174.69,0.32,0,0,0.96,0.96,13.76,0,13.12,8.32,2.24,9.28,8,9.28,16,4.8,1.28,0.32,397.06,5.44,0.64,0,0.96,0.32,0.32,3.52,4.16,0.32,1.6,0,1.6,2.24,6.08
22Month,0,4.37,2.73,119.17,0,0,1.64,0,2.19,20.77,0.55,21.87,2.73,2.73,1.64,2.19,2.19,15.31,4.92,0,1.09,287.54,0,0,0,0,0.55,0,2.19,4.37,0,0,0,0,0,4.92
