stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,2.14,0,3.21,2.14,20.33,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,4.02,1.34,0,0,1.34,0,0,0
3Month,0.32,0.64,0,0,26.56,0,0.64,0.32,0,0.64,0.32,0.32,0.32,0,0,0,0.32,0,0.32,4.16,0.64
22Month,0,1.64,0.55,0.55,25.69,0,0.55,0.55,0.55,1.64,0,0.55,0,0,0.55,0.55,0,0,0.55,1.09,0
