stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,8.17,102.16,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,18.19,2.14,0,2.14,0,1.07,0,0,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,0,1.34,2.68,1.34,0,0,28.11,0,1.34,0,0,1.34,0,1.34,0,0,1.34
3Month,0,0,1.6,0,0,0.32,6.08,0,3.2,0.96,0.96,0,0,0.32,1.28,0.96,0.32,0.32,0,0,0,0,1.28,0,0.32,0,0.64,0.32,2.88
22Month,0,1.09,0,0,0.55,0.55,19.68,0.55,12.03,0,3.28,0.55,0,0,6.56,0,0,0,0,0,0.55,0,0,0,0,0,0,0,2.19
