stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,4.28,0,14.98,4.28,0,0,2.14,0,0,1.07,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0,4.02,4.02,12.05,0,2.68,0,1.34,1.34,0,0,0,0,0
3Month,0,0,0.64,0,1.28,3.52,0.64,0.64,0.96,0.32,0,0,0,0,0,0,1.28,0,0,0.64,0.96
22Month,0,0.55,0,0,3.28,0,1.09,0,0,0,0,0,0,0.55,0,0,1.09,0.55,0,0,0.55
