stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,16.35,0,0,0,0,0,0,114.42,12.26,12.26,0,4.09,0,8.17,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,43.86,6.42,3.21,1.07,3.21,3.21,27.81,3.21,0,0,2.14,0,0,0,3.21,0,1.07,0
21Day,1.34,5.35,1.34,0,0,0,1.34,2.68,54.88,0,1.34,1.34,4.02,0,4.02,1.34,0,0,4.02,2.68,0,1.34,0,1.34,0,1.34
3Month,0.32,7.04,0,8.96,0.32,0.32,0,0,1.6,0.64,0,0.32,0.96,0,0,0,0,0,0,0,0.32,0,0,0,0,0.32
22Month,0,0.55,0,1.09,0,0.55,0,0,2.19,0,0,0,0,1.09,0,0,0.55,1.09,0,0,0.55,0,0,0,0,0
