stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,7.49,0,0,0,0,0,1.07,0,0,0,16.05,0,0,1.07,0,0,0,2.14,4.28,3.21,0,0,0,0,0,0
21Day,1.34,0,16.06,99.05,8.03,1.34,1.34,1.34,0,0,38.82,1.34,42.83,4.02,10.71,0,16.06,0,1.34,1.34,12.05,2.68,9.37,30.79,1.34,1.34,1.34,0,1.34
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,1.09,0,0,0,0.55,0.55,0,6.01,0,0,0,0,0.55,2.19,0.55,0,0,0,0,0,0,0,0,0,0,0
