stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,102.16,0,0,0,0,0,0,0,0,0,40.86,0,4.09,0,0,0,28.6,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,27.81,1.07,0,0,0,0,0,0,0,0,66.33,0,10.7,0,0,1.07,60.98,27.81,0,1.07,0,5.35,0,0,2.14,0,0,0,0,0,0
21Day,0,0,1.34,42.83,29.45,4.02,0,0,0,0,1.34,0,0,2.68,26.77,0,4.02,0,2.68,0,13.39,4.02,2.68,0,0,1.34,5.35,1.34,5.35,1.34,1.34,0,0,0,0
3Month,0,0.96,0.32,40.31,4.48,0,1.28,0.64,0,10.88,2.24,0,3.84,9.92,4.48,1.6,4.16,0.64,1.6,1.28,0.64,0.32,0.32,0,0,0.32,0,10.24,0.32,0,0,0.32,0.96,270.04,1.28
22Month,0.55,2.19,0,20.77,2.19,0,0.55,2.19,0.55,23.51,1.09,0.55,1.09,2.73,1.09,2.73,1.64,0,4.92,0.55,2.19,0,2.19,0.55,1.09,0.55,0,4.92,0,0,0,0.55,0,1.09,0
