stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,2.68,0,1.34,0
3Month,0.32,0.32,0.32,0.96,0.32,0,0,0,2.56,0,1.6
22Month,0,0,0.55,1.64,0,0.55,0.55,0,0.55,0,0
