stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.21,3.21,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,4.02,1.34,0,0,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0.32,0
22Month,0,2.19,0.55,6.01,1.64,0.55,2.19,2.73,63.96,1.64,2.19,1.09,2.19,1.64,0.55,0,0,133.93,0,0,0.55,0,0,1.09
