stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neurosecretory_cell
21Day,0,0,0,0,1.34,0
3Month,0.64,0,0,0.32,0,0
22Month,0,1.09,0.55,0,0.55,0.55
