stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,1.07,0,0,0,0,1.07,0,3.21,3.21,6.42,0,1.07,0,316.66,39.58,0,3.21,3.21,0,0,3.21,7.49,7.49,0,0
21Day,1.34,0,0,1.34,1.34,0,0,2.68,0,0,0,6.69,0,0,0,136.53,21.42,0,6.69,0,0,0,5.35,13.39,21.42,0,0
3Month,0,0.32,0,0,0.32,3.52,1.28,0,0.32,0.32,0.32,0.64,0.32,0,0.32,0,0.32,0.64,0,0,0,0.64,0,0,0,0.32,0.32
22Month,0,0.55,0,0,0.55,8.75,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0
