stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.32,0,0,0.32,0.32,0.32,0.96,1.28,0.32,0.64,0.32,0.32,0,0,0,0,44.79,12.48,0.32
22Month,2.73,0,0.55,1.09,1.09,0,0,0.55,0,1.09,1.09,0,0,0.55,0.55,0.55,1.09,24.05,0,0.55
