stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,8.03,0,0,1.34,0,0,1.34,1.34,0,0
3Month,0.32,0,2.88,0.32,0.32,0,3.2,1.6,0.64,0,0.64,0.32,2.88,0.32,0.32,0,0,0.64,2.88
22Month,0,0,0.55,0,0,0.55,0,2.73,0,0.55,0,0,1.64,0,0,0,0,0,0.55
