stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34
3Month,0,1.92,5.76,0,0.32,0.64,2.88,247.96,9.92,0,6.08,1.6,1.28,4.16,0.96,0.32,0.96,0.96,1.28,0,4.16,0.96,0.32,0.64,2.88,2.88
22Month,0.55,0,1.09,0,0.55,0,3.28,84.18,0.55,1.09,0,0,0,2.19,0,0,0.55,0,0,0.55,0.55,0,0,0,0,1.09
