stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,8.17,0,0,0,12.26,16.35,4.09,49.04,0,4.09,0,4.09
72hpf,1.07,1.07,0,0,2.14,0,2.14,10.7,9.63,0,3.21,1.07,1.07
21Day,0,2.68,1.34,1.34,0,1.34,2.68,8.03,0,1.34,2.68,0,0
22Month,0,0.55,0,0,0,0,1.09,0,0,0,0,0,0
