stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,7.49,0,1.07
21Day,0,0,0,0,0,5.35,0,0
3Month,0.32,0.32,0,0,0.32,0,0,0
22Month,1.09,2.73,0.55,0.55,0,0,0,0.55
