stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,134.85,16.35,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,16.05,0,1.07,0,0,0,0,0,0,0,0,3.21,203.26,2.14,0,0,0,1.07,8.56,3.21,0,0,0,3.21,0,0,0,0,0
21Day,2.68,0,1.34,60.23,0,2.68,0,0,0,0,0,0,2.68,0,2.68,54.88,0,0,0,0,0,4.02,4.02,0,1.34,0,0,0,0,0,1.34,0
3Month,0,0.64,1.92,61.75,0,0,0.64,0.64,0,0,3.52,0.64,0,13.12,9.28,2.56,2.24,0.32,0.32,0.32,0.96,0.32,0,0,0.32,0,0.64,0.96,11.2,0.32,0,2.24
22Month,0,0,0,17.49,0.55,0,0,1.64,1.64,0,5.47,0.55,0,1.64,0.55,0,2.19,0,0,0,0,0,0,0.55,0,2.19,0,0.55,10.39,0,0,0
