stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,19.26,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,2.68,0,0,0,0,2.68,0,0,0,0,0
3Month,0.96,0,0.32,89.27,1.28,0,11.2,1.6,0,5.12,2.56,0.32,12.48,8,3.2,29.12,1.28,0.32,0.32,1.92,0,8.32,0,0,0.96,0.64,0,0.64,1.28,8.96
22Month,0,2.19,18.04,104.41,0.55,0.55,37.72,2.73,1.09,34.99,0.55,1.09,407.26,12.57,14.21,13.12,6.01,3.83,0.55,2.73,0.55,27.33,0.55,1.09,0,1.64,0.55,1.09,0,4.92
