stage,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,8.17,0,0,0,28.6,0
72hpf,0,0,0,3.21,1.07,0
21Day,1.34,1.34,2.68,0,1.34,4.02
