stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,24.52,4.09,4.09,8.17,0,0,12.26,8.17,175.72,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,10.7,13.91,2.14,0,0,0,0,0,0,0,0,0,7.49,6.42,0,1.07,0,0,0,43.86,34.23,2.14,0,0,1.07,0,0,21.4,1.07,0,1.07,0,0,0
21Day,0,0,5.35,13.39,6.69,0,0,0,0,0,0,0,2.68,0,0,8.03,0,2.68,0,0,0,18.74,10.71,0,1.34,0,0,0,1.34,14.72,0,1.34,2.68,0,0,1.34
3Month,2.56,2.56,104.3,4.16,0,1.6,0.32,6.08,9.92,0,55.99,14.4,0.32,18.56,17.6,11.2,12.48,10.88,0.96,2.56,10.56,33.59,0.96,4.8,2.88,0,1.28,5.44,80.95,1.28,0.32,0,1.28,5.44,2451.77,9.6
22Month,0.55,0,44.28,0.55,0,0,0,0.55,2.19,0.55,15.85,0.55,0.55,1.64,1.09,1.09,3.28,2.19,0,0.55,0,4.37,1.64,2.19,0,0.55,0,0.55,32.25,1.09,0,0,0.55,0,12.03,1.09
