stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0
72hpf,2.14,0,1.07,1.07,1.07,0,0
21Day,6.69,0,0,1.34,0,0,0
22Month,0,0.55,0,0,0,0,1.09
