stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,0,0,0,0,3.21,0,3.21,0,0,187.21,40.65,1.07,1.07,1.07,0,0,3.21,2.14
21Day,0,0,1.34,0,0,1.34,1.34,0,0,5.35,0,0,61.57,14.72,0,0,0,4.02,0,1.34,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0.32,0,0
22Month,0.55,0,0,0.55,3.83,0.55,0,0,0.55,1.64,0.55,0,0,0,0,0,0,0,2.19,0.55,0
