stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,4.09,0,0
21Day,1.34,0,1.34,1.34,0,0,0
3Month,0.32,0.32,0,0.96,0,0.32,0.32
22Month,0,0.55,0.55,0,0,0,0
