stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,49.04,0,0,0,0,0,0,0,0,0,0,0,8.17,28.6,36.78,16.35,0,0,0,0,20.43,44.95,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,37.44,4.28,8.56,0,0,0,1.07,0,0,0,1.07,0,10.7,57.77,22.47,20.33,0,1.07,1.07,0,16.05,20.33,0,0,18.19,1.07,0,0,6.42,0,0,0,0,0
21Day,17.4,4.02,2.68,65.59,5.35,14.72,0,13.39,1.34,0,0,1.34,5.35,9.37,1.34,0,58.9,42.83,38.82,0,0,6.69,2.68,6.69,24.09,0,0,24.09,9.37,0,0,1.34,0,4.02,0,0,24.09
3Month,0,4.16,3.52,52.15,0.32,0,2.24,1.6,11.84,34.55,0,50.23,85.43,1.6,16.96,5.44,17.28,44.15,12.8,3.52,0,6.4,4.8,0.96,0.64,1.28,1.6,1.28,1.92,0.32,10.88,0.32,0,0,5.76,21.76,39.99
22Month,0,7.11,4.92,31.71,0,0,3.83,3.83,7.65,104.41,16.95,245.45,30.07,7.65,24.05,0.55,8.2,75.98,23.51,0,3.83,4.37,0.55,3.28,0,3.28,1.09,2.19,1.09,0,0.55,0.55,0.55,0,1.64,0,24.6
